Y,Z,Count
-3.0,6.0,878
-4.0,6.0,1
7.0,-17.0,28
-3.0,-15.0,456
-3.0,-14.0,668
-3.0,-13.0,509
-3.0,-12.0,639
-4.0,-20.0,41
-4.0,-19.0,69
-4.0,-18.0,34
-4.0,-16.0,75
-4.0,-14.0,107
-4.0,-13.0,154
-4.0,-15.0,63
-4.0,-12.0,60
-3.0,-3.0,7538
2.0,-5.0,421
3.0,-2.0,182
3.0,-1.0,219
2.0,-2.0,1654
3.0,2.0,5
3.0,7.0,89
3.0,8.0,19
2.0,8.0,27
-3.0,7.0,901
-4.0,10.0,7
-4.0,11.0,1
-4.0,9.0,9
-4.0,-17.0,42
3.0,-6.0,1703
3.0,-5.0,154
3.0,1.0,34
1.0,-15.0,210
-4.0,2.0,8
-6.0,2.0,18
-6.0,3.0,26
2.0,12.0,9
2.0,13.0,13
2.0,14.0,1
1.0,13.0,90
1.0,14.0,24
-4.0,19.0,4
-4.0,8.0,6
-4.0,7.0,1
-6.0,16.0,1
-6.0,14.0,1
4.0,-7.0,132
8.0,-18.0,1
6.0,-15.0,13
5.0,-12.0,17
6.0,-14.0,1
2.0,-19.0,9
4.0,-6.0,291
4.0,-5.0,37
-4.0,-10.0,4
-4.0,-3.0,2
-4.0,0.0,9
-4.0,-11.0,8
-4.0,-7.0,9
-4.0,-6.0,3
-4.0,15.0,2
-4.0,17.0,1
1.0,-5.0,5
-4.0,-4.0,56
-4.0,-5.0,33
-5.0,-5.0,5
9.0,-19.0,1
-4.0,1.0,2
